index,anomaly_score,y_true,pred_label,is_alert,timestamp,bandwidth,throughput,congestion,packet_loss,latency,jitter
750,0.0006104378822353803,0,False,False,2024-05-11 20:33:59+00:00,2,2.62,0.09,0.0,11.02,0.8
751,0.0006104378822353803,0,False,False,2024-05-11 20:34:23+00:00,2,2.57,0.09,0.0,10.13,0.36
752,0.0006104378822353803,0,False,False,2024-05-11 20:34:47+00:00,2,2.39,0.07,0.0,10.78,1.09
753,0.0006104378822353803,0,False,False,2024-05-11 20:35:12+00:00,2,2.37,0.07,0.0,11.41,0.56
754,0.0006104378822353803,0,False,False,2024-05-11 20:35:41+00:00,2,1.88,0.31,0.0,10.39,0.73
755,0.014156938262780085,0,False,False,2024-05-11 20:36:10+00:00,2,1.95,0.11,0.0,15.12,2.82
756,0.0005699177524199743,0,False,False,2024-05-11 20:36:34+00:00,2,2.42,0.53,0.0,10.24,0.45
757,0.0007766867913414903,0,False,False,2024-05-11 20:37:03+00:00,2,2.25,0.06,0.0,10.33,1.4
758,0.0005699177524199743,0,False,False,2024-05-11 20:37:31+00:00,2,2.16,0.09,0.0,10.01,0.55
759,0.0006104378822353803,0,False,False,2024-05-11 20:37:55+00:00,2,2.63,0.05,0.0,10.61,0.63
760,0.0006104378822353803,0,False,False,2024-05-11 20:38:19+00:00,2,2.34,0.12,0.0,10.32,0.49
761,0.0006104378822353803,0,False,False,2024-05-11 20:38:47+00:00,2,2.29,0.08,0.0,10.61,0.8
762,0.0006104378822353803,0,False,False,2024-05-11 20:39:15+00:00,2,2.12,0.33,0.0,10.33,0.35
763,0.0006104378822353803,0,False,False,2024-05-11 20:39:39+00:00,2,2.59,0.07,0.0,10.44,0.68
764,0.0006104378822353803,0,False,False,2024-05-11 20:40:03+00:00,2,2.61,0.07,0.0,11.53,0.42
765,0.0006104378822353803,0,False,False,2024-05-11 20:40:29+00:00,2,3.19,0.07,0.0,10.4,0.88
766,0.0006104378822353803,0,False,False,2024-05-11 20:40:59+00:00,2,1.85,0.07,0.0,10.91,0.69
767,0.0006104378822353803,0,False,False,2024-05-11 20:41:23+00:00,2,2.41,0.07,0.0,10.7,0.94
768,0.0006104378822353803,0,False,False,2024-05-11 20:41:51+00:00,2,2.32,0.03,0.0,10.99,0.48
769,0.0006104378822353803,0,False,False,2024-05-11 20:42:15+00:00,2,2.33,0.53,0.0,10.78,0.38
770,0.0006104378822353803,0,False,False,2024-05-11 20:42:45+00:00,2,1.8,0.12,0.0,10.46,0.72
771,0.0006104378822353803,0,False,False,2024-05-11 20:43:13+00:00,2,2.17,0.08,0.0,10.4,0.43
772,0.0006104378822353803,0,False,False,2024-05-11 20:43:42+00:00,2,2.11,0.09,0.0,10.76,0.88
773,0.012521933573153274,0,False,False,2024-05-11 20:44:10+00:00,2,2.19,0.06,0.0,10.39,3.33
774,0.0005699177524199743,0,False,False,2024-05-11 20:44:39+00:00,2,1.98,0.09,0.0,9.97,0.37
775,0.0006104378822353803,0,False,False,2024-05-11 20:45:09+00:00,2,1.8,0.07,0.0,10.18,0.8
776,0.0006104378822353803,0,False,False,2024-05-11 20:45:38+00:00,2,1.92,0.12,0.0,10.32,1.09
777,0.0006104378822353803,0,False,False,2024-05-11 20:46:03+00:00,2,2.35,0.07,0.0,10.62,0.76
778,0.0006104378822353803,0,False,False,2024-05-11 20:46:27+00:00,2,2.32,0.13,0.0,10.54,0.96
779,0.0007766867913414903,0,False,False,2024-05-11 20:46:56+00:00,2,1.91,0.06,0.0,10.48,1.43
780,0.011699999233901026,0,False,False,2024-05-11 20:47:24+00:00,2,2.25,0.07,0.0,10.77,4.2
781,0.0038695489986131652,0,False,False,2024-05-11 20:47:48+00:00,2,2.41,0.14,0.0,10.43,1.46
782,0.0005699177524199743,0,False,False,2024-05-11 20:48:16+00:00,2,2.38,0.06,0.0,10.87,0.56
