n_estimators,learning_rate,max_depth,min_samples_leaf,subsample,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,f2_mean,f2_std,pr_auc_mean,pr_auc_std,alert_rate_mean,alert_rate_std
100,0.03,2,1,0.7,0.6627545876184714,0.27551740933164676,0.8055555555555556,0.17213259316477408,0.6613756613756614,0.102923313572807,0.7231023687164038,0.0884360490938254,0.9186485034163507,0.02317134708450404,0.10666666666666666,0.05593647190240809
100,0.03,2,1,0.85,0.6514275885792913,0.2878300354945406,0.8055555555555556,0.17213259316477408,0.6483181306710718,0.11603497171605859,0.7125418367722242,0.08152402405398007,0.9119163135339605,0.016661613856502847,0.11600000000000002,0.07596490417730195
100,0.03,2,1,1.0,0.778328173374613,0.2719429640249883,0.7024786324786325,0.1914652773835711,0.6699023199023199,0.11594748716904611,0.6724467593773756,0.12535271316657923,0.9066055701861329,0.02261662660168685,0.07466666666666666,0.03827386691841953
100,0.03,2,3,0.7,0.659766081871345,0.2778983794826928,0.7888888888888889,0.180534186769688,0.6470677986957056,0.08277727418146147,0.7061075329368013,0.07984422822631954,0.9207517713048476,0.025010038494740736,0.10666666666666669,0.05917957605645907
100,0.03,2,3,0.85,0.6407843137254903,0.2964934113011976,0.7722222222222223,0.19436506316151,0.614123505049095,0.0833547653010587,0.6750415203245392,0.0709947421414935,0.9099112401279583,0.020597812616185217,0.11733333333333333,0.08084003408652864
100,0.03,2,3,1.0,0.7607843137254902,0.29617580530979143,0.6691452991452992,0.19476987888254457,0.6285261522103628,0.10259524496525824,0.6297035376867853,0.10398635663899537,0.9067557203362829,0.022680341239254827,0.07866666666666666,0.04978174587358525
100,0.03,2,5,0.7,0.6649948400412796,0.2740166772760121,0.7888888888888889,0.180534186769688,0.6516262032541104,0.08024059617016976,0.7089027810150682,0.08124020706183108,0.9133173673060645,0.01253246762481005,0.10533333333333332,0.05893876294746759
100,0.03,2,5,0.85,0.6571160521624918,0.2810406809720018,0.7722222222222223,0.19436506316151,0.6311078700094719,0.06417873654643926,0.6877229565353872,0.08010587520867225,0.9102044315837418,0.018433874767496975,0.10800000000000001,0.06671997868371629
100,0.03,2,5,1.0,0.6571160521624918,0.2810406809720018,0.8122222222222224,0.14966629547095764,0.6624804190290796,0.10142483786065555,0.7255480156370421,0.0462753943297473,0.9075499027826393,0.02037174830367598,0.11066666666666666,0.06388879227045835
100,0.03,3,1,0.7,0.6406410256410257,0.1763105338295205,0.8012820512820513,0.15946528371789265,0.67552790346908,0.0761101052668454,0.7356383173518722,0.09644565230202584,0.8380872609995322,0.042750341828172264,0.10266666666666668,0.05157087894883657
100,0.03,3,1,0.85,0.7569696969696971,0.09162145140809942,0.7388888888888888,0.23412563895228305,0.7131035923141186,0.10738837682379142,0.721089729877889,0.17991843580242053,0.840850887998054,0.06776056536495936,0.07333333333333333,0.03910100879630715
100,0.03,3,1,1.0,0.6564935064935065,0.14243608419303683,0.6722222222222223,0.2293307493394477,0.6428851540616247,0.13372093697765772,0.6546523727374791,0.18103178036249942,0.8071311111599975,0.05348864989507374,0.07733333333333334,0.03785351884420904
100,0.03,3,3,0.7,0.5038544891640867,0.02942960912883271,0.9188888888888889,0.04181086160494841,0.650500492691162,0.03200022459387392,0.7885440029276147,0.03546523641637625,0.8683645291709018,0.04166479881872951,0.12933333333333333,0.021746008573733454
